id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
12280,880.972,2805.27,19.511,0.036,1.03,0.049,0.727,0.141,1.81,0.043
12281,544.453,1656.6,19.561,0.05,0.669,0.066,0.429,0.106,1.581,0.057
12282,488.15,2179.94,19.626,0.041,0.704,0.054,nan,nan,1.789,0.056
12283,2796.48,909.154,19.429,0.034,1.082,0.045,nan,nan,1.687,0.044
12284,4009.15,1533.01,19.519,0.02,0.814,0.037,-0.13,0.075,1.528,0.027
12285,527.951,3084.3,19.467,0.049,1.11,0.069,nan,nan,1.853,0.067
12286,2628.72,1690.64,19.448,0.038,0.95,0.049,0.223,0.079,1.579,0.044
12287,2480.11,3729.23,19.519,0.028,0.821,0.037,0.019,0.079,1.521,0.041
12289,2039.8,2368.35,19.567,0.033,0.893,0.048,0.334,0.096,1.748,0.037
12290,2057.5,671.404,19.465,0.032,1.012,0.045,0.444,0.123,1.667,0.041
12291,1856.87,2347.72,19.585,0.034,0.912,0.052,nan,nan,1.751,0.038
12292,3649.0,4090.65,19.327,0.026,1.543,0.053,nan,nan,nan,nan
12293,1991.07,2429.1,19.568,0.03,0.823,0.043,0.312,0.093,1.707,0.034
12294,2509.45,376.579,19.5,0.044,1.288,0.06,nan,nan,1.962,0.051
12295,2222.93,3235.56,19.451,0.036,0.978,0.046,nan,nan,1.625,0.046
12296,778.708,180.076,19.56,0.065,1.895,0.538,nan,nan,1.697,0.069
12298,2656.53,2237.28,19.488,0.048,1.113,0.069,nan,nan,1.869,0.065
12299,174.901,2451.76,19.589,0.053,1.309,0.069,nan,nan,2.173,0.059
12300,1919.32,884.817,19.661,0.043,1.32,0.065,nan,nan,2.17,0.05
12302,2725.87,648.647,19.473,0.038,1.212,0.054,nan,nan,1.891,0.048
12303,2901.32,3212.53,19.651,0.034,1.33,0.054,nan,nan,1.955,0.037
12304,883.853,3055.07,19.496,0.035,0.876,0.048,0.346,0.08,1.618,0.044
12305,1961.57,1139.98,19.799,0.047,1.321,0.076,nan,nan,2.209,0.052
12306,129.429,1223.26,19.525,0.056,0.757,0.076,0.692,0.125,1.608,0.065
12307,706.49,4073.81,19.621,0.03,0.921,0.047,nan,nan,1.867,0.036
12308,2963.15,2152.7,20.272,0.04,1.65,0.094,nan,nan,2.931,0.045
12309,1250.2,1143.06,19.841,0.039,0.244,0.055,nan,nan,1.855,0.048
12310,734.407,2172.12,19.526,0.042,0.911,0.056,-0.849,0.186,1.68,0.052
12311,4087.71,1646.45,19.483,0.019,0.928,0.035,0.345,0.09,1.536,0.027
12312,1728.71,2740.37,19.576,0.033,0.909,0.045,0.374,0.097,1.785,0.037
12313,3260.85,926.323,19.458,0.028,0.948,0.038,0.168,0.092,1.56,0.038
12314,2437.07,3888.06,19.47,0.029,1.171,0.045,nan,nan,1.814,0.042
12315,1448.92,675.167,19.576,0.041,0.961,0.063,nan,nan,1.764,0.047
