id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
2818,2915.89,622.581,17.453,0.028,0.856,0.045,0.225,0.056,1.255,0.044
2819,151.189,410.2,17.208,0.041,1.167,0.06,1.658,0.166,1.137,0.052
2820,2871.97,3922.86,17.36,0.027,1.035,0.037,0.264,0.039,1.294,0.038
2822,3410.07,1483.33,17.541,0.028,0.402,0.05,0.566,0.057,1.087,0.041
2824,3325.63,3470.93,17.355,0.018,0.958,0.027,0.227,0.035,1.05,0.026
2826,3542.51,1059.24,17.427,0.026,0.934,0.035,0.294,0.035,1.317,0.038
2828,2904.91,936.538,17.521,0.032,0.764,0.043,0.281,0.046,1.272,0.044
2829,3307.71,3730.76,17.339,0.021,0.943,0.033,0.327,0.038,1.164,0.028
2830,3819.47,3329.6,17.335,0.015,1.188,0.034,0.297,0.043,1.322,0.029
2831,1603.06,3294.94,17.153,0.025,1.234,0.042,1.233,0.05,1.365,0.028
2832,4082.1,82.607,17.377,0.025,1.044,0.05,0.186,0.064,1.173,0.044
2833,1316.47,1030.44,17.374,0.044,0.893,0.055,0.438,0.054,1.345,0.047
2835,3414.04,621.662,17.445,0.027,0.932,0.04,0.18,0.047,1.327,0.04
2837,2506.05,875.104,17.512,0.036,0.759,0.047,0.308,0.052,1.357,0.044
2838,1985.24,2466.08,17.333,0.028,1.213,0.037,1.384,0.059,1.691,0.033
2839,856.177,2527.35,17.353,0.025,0.994,0.04,0.31,0.048,1.293,0.032
2841,1854.34,600.888,17.411,0.046,0.903,0.062,0.241,0.06,1.365,0.051
2842,790.193,3591.39,16.89,0.033,1.699,0.044,0.96,0.045,1.975,0.05
2843,2250.25,498.91,17.478,0.035,0.843,0.05,0.227,0.056,1.329,0.046
2844,4066.8,1643.24,17.313,0.023,1.21,0.041,0.385,0.044,1.581,0.031
2845,1601.75,3769.81,17.325,0.029,1.03,0.041,0.366,0.043,1.219,0.037
2846,2387.63,2085.59,17.385,0.025,0.853,0.039,0.463,0.045,1.156,0.034
