radeg,raerr("),decdeg,decerr("),Johnson_V (V),Verr,Vnobs,Johnson_B (B),Berr,Bnobs,Sloan_u (SU),SUerr,SUnobs,Sloan_g (SG),SGerr,SGnobs,Sloan_r (SR),SRerr,SRnobs,Sloan_i (SI),SIerr,SInobs,Sloan_z (SZ),SZerr,SZnobs,PanSTARRS_Y (Y),Yerr,Ynobs
115.688859,0.401,-28.401189,0.447,NA,NA,0,NA,NA,0,NA,NA,0,17.674,0.127,3,16.891,0.097,3,16.327,0.268,1,NA,NA,0,NA,NA,0
115.688992,0.507,-28.333006,0.298,16.402,0.057,2,17.263,0.079,2,NA,NA,0,16.732,0.083,5,16.116,0.059,5,15.839,0.063,5,NA,NA,0,NA,NA,0
115.689031,0.619,-28.300473,0.363,NA,NA,0,NA,NA,0,NA,NA,0,17.333,0.09,5,16.509,0.112,5,15.873,0.089,3,NA,NA,0,NA,NA,0
115.689045,0.314,-28.440903,0.217,15.842,0.123,5,16.603,0.147,5,NA,NA,0,16.084,0.034,5,15.579,0.017,5,15.381,0.098,5,NA,NA,0,NA,NA,0
115.689136,0.406,-28.361352,0.434,15.651,0.077,5,16.63,0.067,5,NA,NA,0,16.139,0.099,5,15.244,0.015,5,14.876,0.104,4,NA,NA,0,NA,NA,0
115.689175,0.609,-28.53415,0.36,16.602,0.215,6,17.327,0.146,6,NA,NA,0,16.965,0.099,5,16.537,0.05,5,16.379,0.235,2,NA,NA,0,NA,NA,0
115.689798,0.389,-28.574375,0.274,16.345,0.03,5,17.123,0.172,5,NA,NA,0,16.699,0.08,6,16.038,0.036,6,15.782,0.171,4,NA,NA,0,NA,NA,0
115.690259,0.428,-28.293819,0.494,15.884,0.144,5,16.622,0.094,5,NA,NA,0,16.159,0.052,5,15.601,0.034,5,15.453,0.134,5,NA,NA,0,NA,NA,0
115.690547,0.183,-28.315464,0.23,14.126,0.072,5,15.904,0.066,5,NA,NA,0,14.945,0.04,5,13.482,0.011,5,12.788,0.047,5,12.325,0.098,2,NA,NA,0
115.690586,0.476,-28.236472,0.517,17.078,0.203,1,18.012,0.342,1,NA,NA,0,17.56,0.32,5,16.433,0.067,5,16.066,0.133,5,NA,NA,0,NA,NA,0
115.690943,0.222,-28.516355,0.156,13.497,0.065,5,13.929,0.05,5,NA,NA,0,13.638,0.035,5,13.367,0.021,5,13.275,0.046,5,13.161,0.033,2,NA,NA,0
115.690949,0.649,-28.413919,0.257,15.66,0.083,5,16.656,0.126,5,NA,NA,0,16.086,0.058,5,15.378,0.028,5,14.997,0.064,5,NA,NA,0,NA,NA,0
