EDR3Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,V,eV,BV,eBV,UB,eUB,VI,eVI
Gaia EDR3 5597787492867916416,-0.022345,-0.038649,119.69613687984,-28.61338035855,0.4264,0.051,-3.85,0.046,5.765,0.045,16.755735,0.002806,1.097101,0.013309116424466352,17.029,0.01,0.844,0.015,0.274,0.014,0.958,0.013
Gaia EDR3 5597796185889421056,0.067921,0.181312,119.79879915129,-28.39339974704,0.2718,0.0475,-3.648,0.041,5.849,0.046,16.746376,0.002801,1.140863,0.007311500666757817,17.029,0.008,0.896,0.016,0.318,0.018,1.004,0.015
Gaia EDR3 5600790598417212928,-0.208568,0.044834,119.48419537254,-28.52969243516,0.6961,0.0529,-3.12,0.045,1.868,0.053,16.730637,0.002817,1.156059,0.006563491829811323,17.029,0.01,0.954,0.013,0.762,0.021,0.961,0.016
Gaia EDR3 5597798178754203136,0.129606,0.236768,119.86884140618,-28.33788585043,0.4954,0.0485,-2.676,0.041,3.543,0.048,16.765423,0.002814,1.127012,0.008737781697891061,17.029,0.01,0.946,0.022,0.433,0.024,0.996,0.018
Gaia EDR3 5600789297057541248,-0.165006,-0.016101,119.53366954675,-28.5907043723,0.1362,0.0471,-1.809,0.041,2.14,0.048,16.53911,0.002806,1.574567,0.007379960026992016,17.03,0.007,1.224,0.011,0.608,0.012,1.455,0.012
Gaia EDR3 5597410291668980352,-0.205191,-0.167155,119.48756636522,-28.74168714331,0.2438,0.0488,-0.804,0.04,3.346,0.049,16.729496,0.002803,1.211159,0.00721303244135225,17.03,0.01,0.911,0.014,0.292,0.014,1.089,0.016
Gaia EDR3 5597791719123418624,0.148861,0.098626,119.89093947355,-28.47600178292,0.3376,0.0456,-1.799,0.036,2.689,0.047,16.685781,0.002795,1.276662,0.00729685144428746,17.03,0.01,1.01,0.015,0.371,0.016,1.146,0.015
Gaia EDR3 5597771000201625216,0.094217,-0.16435,119.82904300585,-28.73904118971,0.2178,0.0589,-2.235,0.044,2.838,0.058,16.74843,0.002812,0.997761,0.010813227131619866,17.03,0.011,-0.021,0.023,1.198,0.025,0.956,0.02
Gaia EDR3 5597785358266890368,-0.070286,-0.105379,119.64147547814,-28.68008869276,0.243,0.0534,-0.346,0.044,3.334,0.048,16.771164,0.002806,1.122191,0.006976141698675565,17.031,0.006,0.871,0.011,0.225,0.012,0.977,0.013
Gaia EDR3 5597770794043107968,0.17146,-0.131662,119.91707619322,-28.70625491685,0.3712,0.0486,-1.933,0.043,1.06,0.05,16.707888,0.0028,1.188292,0.008875323205382438,17.031,0.01,0.96,0.016,0.699,0.017,1.07,0.019
