id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
1167 977.169 4016.39 16.669 0.083 0.655 0.123 "" "" 2.806 0.082 118.58856139239396 -26.715492638982777 2.8242
1264 2795.92 253.389 15.378 0.031 1.212 0.04 0.783 0.042 1.933 0.047 118.34612175742959 -27.17215258609485 0.5651
1386 1828.14 4037.44 17.558 0.243 -0.425 0.291 0.102 0.165 3.5 0.232 118.47313952275967 -26.713795411835907 2.1733
1489 901.333 3867.69 16.032 0.024 0.64 0.032 0.333 0.038 "" "" 118.59901121764015 -26.73339111841475 0.6813
1593 3885.19 982.508 16.029 0.02 0.719 0.026 0.102 0.032 1.277 0.029 118.19759485888244 -27.085105399475495 1.0887
1878 3304.53 549.219 16.23 0.028 0.758 0.034 0.195 0.046 1.289 0.037 118.27682024574575 -27.136900744238492 0.6307
2097 1319.93 3264.42 16.485 0.02 0.525 0.026 0.179 0.029 1.286 0.025 118.54291906377988 -26.806727558047054 0.5289
2149 1344.85 2645.9 16.539 0.018 0.503 0.022 0.362 0.028 1.248 0.024 118.54022963127798 -26.8815154078317 0.4533
2230 2793.21 1003.71 16.552 0.018 0.654 0.022 0.32 0.024 1.269 0.038 118.34565232356948 -27.081455521471838 0.4218
2259 415.001 3839.95 17.036 0.09 0.464 0.107 0.233 0.082 2.706 0.095 118.66499262065574 -26.73626000452475 3.0770
2516 3902.63 760.477 16.689 0.023 0.51 0.03 0.292 0.038 1.109 0.029 118.19547751736562 -27.11196055629977 0.3261
2611 3840.5 3680.67 16.732 0.016 0.719 0.023 -0.084 0.025 1.265 0.021 118.20064556249997 -26.75892303744251 1.1672
2655 1381.16 4066.24 18.892 0.186 1.034 0.41 "" "" 3.784 0.179 118.53372141724958 -26.709869253339335 1.8265
2876 1209.56 1678.27 16.714 0.028 1.595 0.036 0.615 0.045 3.682 0.038 118.55965534844862 -26.998342115692452 2.0519
3127 3673.3 2948.42 16.888 0.013 0.857 0.017 0.521 0.028 1.351 0.021 118.22413597760486 -26.847266634867456 0.1953
3253 4031.49 2769.53 17.049 0.014 0.627 0.021 -0.073 0.041 1.193 0.021 118.17576212353977 -26.869246391603042 0.8749
3258 3802.15 1371.79 16.88 0.013 0.978 0.02 0.608 0.029 1.399 0.025 118.20842152166172 -27.037968623355727 0.5284
3344 2151.11 285.655 16.902 0.029 0.933 0.039 0.65 0.046 1.464 0.043 118.43352709658632 -27.16761053108829 0.5811
3387 2493.72 4048.97 18.721 0.206 -0.339 0.234 0.584 0.157 3.455 0.198 118.38286875611712 -26.713064342562614 1.6429
3626 1529.7 2510.97 17.298 0.025 0.516 0.031 0.412 0.037 1.314 0.033 118.5153130161609 -26.898008973411176 0.1004
3658 3703.59 2493.05 17.051 0.026 1.112 0.033 0.751 0.051 1.809 0.034 118.22053634812296 -26.902339223194176 0.5333
3663 1263.55 3788.6 17.238 0.025 0.602 0.034 0.154 0.036 1.251 0.03 118.5499799505549 -26.74331165017377 0.4464
